report_date,idx,group_0,group_1,fmt,value,mapped_values
2026-03-31,0010,Level of NII - Baseline scenario,0100,integer,20852429.32,"['(mi1022) Net interest income [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x6) Baseline scenario']"
2026-03-31,0030,Level of NII - Baseline scenario,0100,integer,18421218.22,"['(mi1022) Net interest income [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x6) Baseline scenario']"
2026-03-31,0040,Level of NII - Baseline scenario,0100,integer,2431211.1,"['(mi1022) Net interest income [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x6) Baseline scenario']"
2026-03-31,0010,Delta NII - Parallel shock up,0110,integer,21300949.77,"['(mi1000) Change in net interest income [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x95) Parallel shock up']"
2026-03-31,0030,Delta NII - Parallel shock up,0110,integer,18421218.22,"['(mi1000) Change in net interest income [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x95) Parallel shock up']"
2026-03-31,0040,Delta NII - Parallel shock up,0110,integer,2879731.54,"['(mi1000) Change in net interest income [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x95) Parallel shock up']"
2026-03-31,0010,Delta EVE -  Parallel shock down,0120,integer,-21300949.77,"['(mi1000) Change in net interest income [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x94) Parallel shock down']"
2026-03-31,0030,Delta EVE -  Parallel shock down,0120,integer,-18421218.22,"['(mi1000) Change in net interest income [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x94) Parallel shock down']"
2026-03-31,0040,Delta EVE -  Parallel shock down,0120,integer,-2879731.54,"['(mi1000) Change in net interest income [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x94) Parallel shock down']"
2026-03-31,0010,Carrying Amount,0010,integer,1065056847.57,"['(mi53) Carrying amount [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '']"
2026-03-31,0030,Carrying Amount,0010,integer,921060911.11,"['(mi53) Carrying amount [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '']"
2026-03-31,0040,Carrying Amount,0010,integer,143995936.46,"['(mi53) Carrying amount [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '']"
2026-03-31,0010,Duration,0020,integer,0.0028,"['(ri1021) Modified duration [ri]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '']"
2026-03-31,0030,Duration,0020,integer,0.0028,"['(ri1021) Modified duration [ri]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '']"
2026-03-31,0040,Duration,0020,integer,0.0028,"['(ri1021) Modified duration [ri]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '']"
2026-03-31,0570,Level of MV - Baseline scenario,0130,integer,1065056847.57,"['(mi420) Market value [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(PL:x95) Accounting portfolios for assets measured at fair value', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x6) Baseline scenario']"
2026-03-31,0610,Level of MV - Baseline scenario,0130,integer,0.0,"['(mi420) Market value [mi]', '(BA:x7) Liabilities', '(MC:x31) All liabilities', '(PL:x95) Accounting portfolios for assets measured at fair value', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x6) Baseline scenario']"
2026-03-31,0570,Delta MV - Parallel shock up,0140,integer,1086357797.33,"['(mi1005) Changes in market value [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(PL:x95) Accounting portfolios for assets measured at fair value', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x95) Parallel shock up']"
2026-03-31,0610,Delta MV - Parallel shock up,0140,integer,0.0,"['(mi1005) Changes in market value [mi]', '(BA:x7) Liabilities', '(MC:x31) All liabilities', '(PL:x95) Accounting portfolios for assets measured at fair value', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x95) Parallel shock up']"
2026-03-31,0570,Delta MV -  Parallel shock down,0150,integer,1043755897.8,"['(mi1005) Changes in market value [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(PL:x95) Accounting portfolios for assets measured at fair value', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x94) Parallel shock down']"
2026-03-31,0610,Delta MV -  Parallel shock down,0150,integer,0.0,"['(mi1005) Changes in market value [mi]', '(BA:x7) Liabilities', '(MC:x31) All liabilities', '(PL:x95) Accounting portfolios for assets measured at fair value', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x94) Parallel shock down']"
2026-03-31,0010,Level of EVE - Baseline scenario,0030,integer,0.0,"['(mi1010) Economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x6) Baseline scenario']"
2026-03-31,0030,Level of EVE - Baseline scenario,0030,integer,0.0,"['(mi1010) Economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x6) Baseline scenario']"
2026-03-31,0040,Level of EVE - Baseline scenario,0030,integer,0.0,"['(mi1010) Economic value of equity [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x6) Baseline scenario']"
2026-03-31,0010,Delta  EVE - Parallel shock up,0040,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x95) Parallel shock up']"
